Title,StationID,Longitude,Latitude,MagnData,MagnUpdate,SoundData,SoundUpdate
什邡市防震减灾局,99,104.16,31.13,TRUE,TRUE,TRUE,TRUE
木里县防震减灾局,101,101.27,27.93,TRUE,TRUE,TRUE,TRUE
峨眉山防震减灾局,105,103.5,29.59,TRUE,TRUE,TRUE,TRUE
石屏,106,102.52,23.73,TRUE,TRUE,TRUE,TRUE
小金县防震减灾局,107,102.36,31,TRUE,TRUE,TRUE,TRUE
马兰山地震台,109,101.73,26.6,TRUE,TRUE,TRUE,TRUE
德宏州防震减灾局,113,98.59,24.44,TRUE,TRUE,TRUE,TRUE
广元市朝天区东溪河台,115,105.75,32.63,TRUE,TRUE,TRUE,TRUE
平武县防震减灾局,116,104.55,32.41,TRUE,TRUE,TRUE,TRUE
巴塘县防灾减灾局,119,99.11,30,TRUE,FALSE,TRUE,FALSE
永善县大瀑沟地震观测站,120,103.64,28.23,TRUE,FALSE,TRUE,FALSE
九寨沟防震减灾局,121,104.25,33.26,TRUE,TRUE,TRUE,TRUE
炉霍县防灾减灾局,122,100.67,31.39,TRUE,TRUE,TRUE,TRUE
名山区安吉村,124,103.15,30.19,TRUE,TRUE,TRUE,TRUE
金川防震减灾局,125,102.07,31.47,TRUE,TRUE,TRUE,TRUE
德格县防灾减灾局,127,98.57,31.71,TRUE,TRUE,TRUE,TRUE
道孚县防灾减灾局,128,101.12,30.98,TRUE,TRUE,TRUE,TRUE
松潘地震台,129,103.6,32.65,TRUE,TRUE,TRUE,TRUE
九龙县乃渠乡政府,130,101.68,28.76,TRUE,TRUE,TRUE,TRUE
得荣县防灾减灾局,131,99.29,28.72,TRUE,TRUE,TRUE,TRUE
西昌小庙山洞,132,102.23,27.91,TRUE,FALSE,TRUE,FALSE
甘孜县防震减灾局,133,99.99,31.62,TRUE,TRUE,TRUE,TRUE
大理蝴蝶泉,137,100.09,25.9,TRUE,TRUE,TRUE,TRUE
大理双廊镇中学,138,100.19,25.92,TRUE,TRUE,TRUE,TRUE
云龙地震台,140,99.37,25.89,TRUE,TRUE,TRUE,TRUE
青川县姚渡观测站,141,105.42,32.78,TRUE,TRUE,TRUE,TRUE
元谋地震台,142,101.86,25.69,TRUE,FALSE,TRUE,TRUE
个旧地震台,146,103.16,23.38,TRUE,TRUE,TRUE,TRUE
昭通地震台,147,103.72,27.32,TRUE,TRUE,TRUE,TRUE
沐川防震减灾局,148,103.9,28.96,TRUE,TRUE,TRUE,TRUE
冕宁回龙乡,149,102.18,28.62,TRUE,TRUE,FALSE,FALSE
青川房石镇,150,104.96,32.37,TRUE,TRUE,TRUE,TRUE
鲁甸地震台,151,103.55,27.24,TRUE,TRUE,TRUE,TRUE
金牛镇第二小学,152,100.59,25.83,TRUE,TRUE,TRUE,TRUE
冕宁复兴镇,153,102.17,28.42,TRUE,TRUE,FALSE,FALSE
玉溪黄草坝,155,102.62,24.47,TRUE,TRUE,TRUE,TRUE
云南昆明台,156,102.74,25.14,TRUE,TRUE,TRUE,TRUE
崇州市三郎地震台,159,103.54,30.79,TRUE,TRUE,TRUE,TRUE
保山地震台,161,99.12,25.11,TRUE,TRUE,TRUE,TRUE
丽江永胜县地震局,164,100.75,26.68,TRUE,TRUE,TRUE,TRUE
丽江玉龙县南溪台,165,100.16,26.77,TRUE,TRUE,TRUE,TRUE
平武县虎牙乡,166,104.03,32.33,TRUE,TRUE,TRUE,TRUE
松潘岷江乡,167,103.72,32.4,TRUE,TRUE,TRUE,TRUE
平武白马藏族乡,169,104.19,32.84,TRUE,TRUE,TRUE,TRUE
金川安宁镇镇政府,170,102.06,31.29,TRUE,TRUE,TRUE,TRUE
鸡足山初级中学,171,100.47,25.88,TRUE,TRUE,TRUE,TRUE
文县地震局,172,104.69,32.93,TRUE,TRUE,TRUE,TRUE
丽江古城,174,100.23,26.87,TRUE,TRUE,TRUE,TRUE
丽江流动1号,175,100.236072,26.830704,TRUE,TRUE,FALSE,FALSE
荥经县严道一中,177,102.84,29.8,TRUE,TRUE,TRUE,TRUE
四川冕宁漫水湾,181,102.167771,28.208206,TRUE,TRUE,TRUE,TRUE
红原县,182,102.55,32.8,TRUE,TRUE,TRUE,TRUE
青川茶坝乡,183,105.35,32.44,TRUE,TRUE,TRUE,TRUE
黑水,184,102.99,32.06,TRUE,TRUE,TRUE,TRUE
腾冲地震台,186,98.52,25.03,TRUE,TRUE,TRUE,TRUE
茂县叠溪镇政府,188,103.68,32.04,TRUE,FALSE,TRUE,FALSE
九寨沟黄龙机场,189,103.69,32.85,TRUE,TRUE,FALSE,FALSE
九寨沟甘海子,191,103.77,33.25,TRUE,TRUE,TRUE,TRUE
冕宁大桥镇,193,102.19,28.65,TRUE,TRUE,TRUE,TRUE
九寨沟漳扎,197,103.88,33.29,TRUE,TRUE,FALSE,FALSE
平武南埧镇,198,104.83,32.2,TRUE,TRUE,TRUE,TRUE
冕宁里庄乡,200,101.86,28.22,TRUE,TRUE,FALSE,FALSE
理县米亚镇镇政府,201,102.8,31.66,TRUE,TRUE,TRUE,TRUE
九寨沟永和,202,104.2,33.15,TRUE,TRUE,TRUE,FALSE
彭州银厂沟地震台,204,103.81,31.26,TRUE,TRUE,TRUE,TRUE
丽江大东林工站,206,100.39,27.15,TRUE,TRUE,TRUE,TRUE
文县中寨,212,104.42,33.18,TRUE,FALSE,TRUE,TRUE
剑门关地震台,214,105.57,32.2,TRUE,TRUE,TRUE,TRUE
腾冲马站,220,98.49,25.21,TRUE,TRUE,TRUE,TRUE
芦山县中坝村,221,103.06,30.34,TRUE,TRUE,TRUE,TRUE
天全县防震减灾局,223,102.76,30.04,TRUE,TRUE,TRUE,TRUE
丽江华坪县地震局办公楼,225,101.26,26.63,TRUE,TRUE,TRUE,TRUE
腾冲热海,226,98.43,24.95,TRUE,TRUE,FALSE,FALSE
青川桥楼,228,104.929167,32.487778,TRUE,TRUE,TRUE,TRUE
洪雅县防震减灾局,229,103.37,29.91,TRUE,FALSE,TRUE,FALSE
丽江宁蒗地震局,231,100.84,27.29,TRUE,TRUE,TRUE,TRUE
大录乡,235,103.67,33.56,TRUE,TRUE,TRUE,FALSE
阿坝县,236,101.7,32.91,TRUE,TRUE,TRUE,TRUE
碧口,238,105.29,32.73,TRUE,TRUE,TRUE,TRUE
青神县防震减灾局,240,103.85,29.84,TRUE,TRUE,TRUE,TRUE
盐源泸沽湖,243,100.86,27.72,TRUE,FALSE,TRUE,FALSE
壤塘县,246,100.98,32.26,TRUE,TRUE,TRUE,TRUE
汉源县联络村,247,102.53,29.53,TRUE,TRUE,TRUE,TRUE
汶川映秀,250,103.48,31.05,TRUE,TRUE,TRUE,TRUE
川陕交界黄坝驿台,251,106.14,32.76,TRUE,TRUE,TRUE,TRUE
若尔盖,252,102.96,33.58,TRUE,TRUE,TRUE,TRUE
永善县桧溪地震综合观测站,254,103.85,28.3,TRUE,TRUE,TRUE,TRUE
峨眉山市高桥镇政府,255,103.43,29.52,TRUE,TRUE,TRUE,TRUE
峨眉山市黄湾镇政府,256,103.43,29.58,TRUE,TRUE,TRUE,TRUE
马边永红,302,103.4,28.55,TRUE,TRUE,TRUE,TRUE
乡城地震台,303,99.79,28.94,TRUE,TRUE,TRUE,TRUE
马边荍坝,304,103.73,28.83,TRUE,TRUE,TRUE,TRUE
马边民主,305,103.64,28.71,TRUE,TRUE,TRUE,FALSE
大理海东中学,306,100.26,25.72,TRUE,TRUE,TRUE,TRUE
马边彝族自治县烟峰镇政府畜牧站,307,103.46,28.71,TRUE,TRUE,TRUE,TRUE
德钦台,308,98.92,28.47,TRUE,TRUE,TRUE,TRUE
冕宁泸沽镇小学,309,102.189548,28.299008,TRUE,TRUE,TRUE,TRUE
雅安芦山大川,310,103.101139,30.487948,FALSE,FALSE,TRUE,TRUE
稻城城关小学,313,100.3,29.04,TRUE,TRUE,TRUE,TRUE
马边县三口河乡政府,314,103.35,28.88,TRUE,TRUE,TRUE,FALSE
马边梅子坝,315,103.32,28.8,TRUE,FALSE,TRUE,FALSE
马边大竹堡,316,103.47,28.99,TRUE,TRUE,TRUE,TRUE
马边荣丁,317,103.59,28.99,TRUE,TRUE,TRUE,TRUE
香格里拉台,318,99.7,27.82,TRUE,TRUE,TRUE,TRUE
马边建设,319,103.59,28.78,TRUE,TRUE,TRUE,TRUE
马边袁家溪,320,103.52,28.7,TRUE,TRUE,TRUE,TRUE
宜宾屏山富荣,321,104.15,28.71,TRUE,TRUE,TRUE,TRUE
五通桥防震减灾局,322,103.81,29.4,TRUE,TRUE,TRUE,FALSE
内江威远严陵镇,324,104.71,29.54,TRUE,TRUE,TRUE,TRUE
宜宾永兴,326,104.56,29.03,TRUE,TRUE,TRUE,TRUE
绿春县地震观测台,327,102.41,23,TRUE,TRUE,FALSE,FALSE
井研住建局,328,104.06,29.65,TRUE,TRUE,TRUE,TRUE
乐山沙湾应急管理局,329,103.55,29.42,TRUE,TRUE,TRUE,TRUE
荣县长山,331,104.23,29.45,TRUE,TRUE,TRUE,TRUE
红河县地震观测台,332,102.38,23.37,TRUE,TRUE,FALSE,FALSE
乐山市防震减灾局,333,103.75,29.58,TRUE,TRUE,TRUE,TRUE
乐山夹江人民政府,334,103.57,29.74,TRUE,TRUE,TRUE,TRUE
自贡大安,335,104.78,29.38,TRUE,TRUE,TRUE,TRUE
宜宾天池公园,339,104.56,28.71,TRUE,TRUE,TRUE,TRUE
宜宾长宁气象局,352,104.92,28.58,TRUE,TRUE,TRUE,TRUE
宜宾兴文三合村,355,105.18,28.24,TRUE,TRUE,TRUE,TRUE
凉山喜德冕山,40047,102.32,28.35,TRUE,TRUE,TRUE,TRUE
云南元阳地震局,50117,102.84,23.23,TRUE,TRUE,TRUE,TRUE
迪庆维西,60139,99.35159,27.12313,TRUE,TRUE,TRUE,TRUE
大理古城月溪井,60157,100.18,25.7,TRUE,TRUE,TRUE,TRUE
冕宁灵山,60195,102.214539,28.563093,TRUE,TRUE,TRUE,TRUE
绵阳北川,60241,104.44,31.79,TRUE,TRUE,TRUE,TRUE
石棉县安顺彝族乡政府,60251,102.27,29.16,TRUE,TRUE,TRUE,TRUE
